statement_id,statement_text,party,stance_value
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,GroenLinks-PvdA,1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,D66,1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,CDA,1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,SP,1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,Partij voor de Dieren,1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,ChristenUnie,1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,Volt,1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,BIJ1,1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,Piratenpartij,1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,Vrij Verbond,1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,PVV,-1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,VVD,-1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,NSC,-1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,BBB,-1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,DENK,-1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,FvD,-1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,SGP,-1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,JA21,-1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,Vrede voor Dieren,-1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,BVNL,-1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,Libertaire Partij,-1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,50PLUS,-1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,FNP,-1
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,De Linie,-1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,PVV,1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,VVD,1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,CDA,1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,SGP,1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,ChristenUnie,1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,JA21,1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,50PLUS,1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,FNP,1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,GroenLinks-PvdA,-1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,NSC,-1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,D66,-1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,BBB,-1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,SP,-1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,DENK,-1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,Partij voor de Dieren,-1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,FvD,-1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,Volt,-1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,Vrede voor Dieren,-1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,BVNL,-1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,BIJ1,-1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,Libertaire Partij,-1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,Piratenpartij,-1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,Vrij Verbond,-1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,De Linie,-1
